text,speaker,episode,season,preface,scene,scene_id,action,action_id,character,count
"Long ago, someone
said the same thing, only to be devoured by a demon.
When a demon is starving, it will kill and devour
even its own parents or siblings because they’re nutrient-rich.
I’ve seen it happen more times than I can count.
This girl has been wounded,
and she’s expending
energy to heal those
injuries.
She must’ve drained
vast amounts of her strength
as she transformed into a demon.
That means she’s
severely starved at this moment,
without a doubt.
She must’ve wanted
to feast on a human right away,
even if it’s her own brother…
Yet she protected him instead, and she even intimidated me…",Tomioka,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Man 1,5
Grr!!,Nezuko,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Master,5
"I wonder… These siblings might be… different
from others.",Tomioka,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Teiko,5
"I’m sorry to leave you behind,
Tanjirou.
Take care of Nezuko
for me, all
right?",Kie,1,1,," In Tanjirou’s unconsciousness. Tanjirou is lying face down. Kie and his dead siblings
surround him.",1,,,Fiance,5
You awake?,Tomioka,1,1,," In the real world. Tanjirou
is still face-down in the snow. He grabs
onto the nearest
thing he can. Nezuko is laid down next to him
on her back. She has a
bamboo gag in her mouth,
attached by a length of fabric tied around her head.",1,,,Maid,5
Ah…!,Tanjirou,1,1,," In the real world. Tanjirou
is still face-down in the snow. He grabs
onto the nearest
thing he can. Nezuko is laid down next to him
on her back. She has a
bamboo gag in her mouth,
attached by a length of fabric tied around her head.",1,,,Tokie,4
"Go see an old man named Sakonji Urokodaki who lives at the foot of Mt. Sagiri.
Tell him that Giyuu Tomioka sent you.
She seems to be alright since it’s cloudy
now, but never let her be exposed to the
sunlight, okay?",Tomioka,1,1,," In the real world. Tanjirou
is still face-down in the snow. He grabs
onto the nearest
thing he can. Nezuko is laid down next to him
on her back. She has a
bamboo gag in her mouth,
attached by a length of fabric tied around her head.",1,,,Worker,4
Let’s go.,Tanjirou,1,1,," In the real world. Tanjirou
is still face-down in the snow. He grabs
onto the nearest
thing he can. Nezuko is laid down next to him
on her back. She has a
bamboo gag in her mouth,
attached by a length of fabric tied around her head.",1,,,Group,4
"Excuse me. Would it be okay if I took that basket, straw,
and some bamboo?",Tanjirou,2,1,," On some farmland. Tanjirou
talks with a farmer.",1,,,Villagers,4
"Sure, you’re welcome to it, but that basket’s
full of holes.",Farmer,2,1,," On some farmland. Tanjirou
talks with a farmer.",1,,,Mice,4
Yes. I’ll pay you for it.,Tanjirou,2,1,," On some farmland. Tanjirou
talks with a farmer.",1,,,Suyako,4
"No, that’s all right. I mean, it’s a basket full of holes.",Farmer,2,1,," On some farmland. Tanjirou
talks with a farmer.",1,,,Rei,3
"No, I will pay you!",Tanjirou,2,1,," On some farmland. Tanjirou
talks with a farmer.",1,,,Giyuu,3
"No, it’s all right. You can have the bamboo and straw for free, too.",Farmer,2,1,," On some farmland. Tanjirou
talks with a farmer.",1,,,Y.Kanao,3
"But I’m still paying
you!",Tanjirou,2,1,," On some farmland. Tanjirou
talks with a farmer.",1,,,Girl 2,3
I said it’s okay! You’re one stubborn kid!,Farmer,2,1,," On some farmland. Tanjirou
talks with a farmer.",1,,,❹逸,3
Agh…!,Farmer,2,1,," On some farmland. Tanjirou
talks with a farmer.",1,,,Guest,3
"Please accept this, although
it’s just small
change!",Tanjirou,2,1,," On some farmland. Tanjirou
talks with a farmer.",1,,,Hiroshi,3
Thank you very much!,Tanjirou,2,1,," On some farmland. Tanjirou
talks with a farmer.",1,,,Shizu,3
Ouch!!,Farmer,2,1,," On some farmland. Tanjirou
talks with a farmer.",1,,,Kakushis,2
"Nezuko?
Huh? Nezuko? She’s gone!",Tanjirou,2,1,," At a cave in the mountains, during the day. Tanjirou calls
for Nezuko, who is in the cave.",1,,,Girls,2
She’s here.,Tanjirou,2,1,," At a cave in the mountains, during the day. Tanjirou calls
for Nezuko, who is in the cave.",1,,,"Owner,",2
"Nezuko…
She dug a hole?
My little sister has turned into a mole.
(Thoughts) And she’s frowning!
She must really want to avoid the sunlight.
Wait there for a second.",Tanjirou,2,1,Thoughts," At a cave in the mountains, during the day.",1,,,Owners,2
"Nezuko?
Nezuko. Think you can fit inside
this?
I want to keep moving during the day, too.
I’ll carry you, okay?
Can you fit? In here?
Basket.",Tanjirou,2,1,," At a cave in the mountains, during the day.",1,,,"Daki,",2
"She kinda protrudes, huh?
I can’t believe
she grew up. Seems like yesterday that she was tiny.
Huh?
Nezuko. Remember
how you became big like an adult earlier?
Do you think you can do the opposite? Get smaller?
Smaller, Nezuko!
Get smaller!",Tanjirou,2,1,Thoughts," At a cave in the mountains, during the day.",1,,,"Swordsmiths    Ahh! Demon      Urahh!
Swordsmith    Ngh! Demon",2
Ahh!,Tanjirou,2,1,," At a cave in the mountains, during the day.",1,,,Hashira,2
"Ohh!
Good job!
That’s a good girl,
Nezuko! I’m impressed!",Tanjirou,2,1,," At a cave in the mountains, during the day.",1,,,Haganezuka      Ngh… I’ll kill you! Gotou,2
"Mt. Sagiri?
If you want to go to Mt. Sagiri,
you’ll have to cross over that mountain, but… The sun’s about to set. Are you really heading there with
all that luggage?
It’s dangerous, you know.",Woman,2,1,," In the late afternoon. Tanjirou walks down the path past a farm with Nezuko carried
in the covered basket on his
back.",1,,,"Toki.Crow         Oh, shut up, bottom-feeder! Tan.Crow  What?! Why don’t you shut up?! Toki.Crow         I’m not the one who needs
to shut up! Tan.Crow",2
"I’ll be careful.
Thank you very much.",Tanjirou,2,1,," In the late afternoon. Tanjirou walks down the path past a farm with Nezuko carried
in the covered basket on his
back.",1,,,Man 3,1
"People have gone missing
lately!
Try not to lose your way!",Woman,2,1,," In the late afternoon. Tanjirou walks down the path past a farm with Nezuko carried
in the covered basket on his
back.",1,,,"What kind of talk is that, Mr. Pissed-My-Pants? Murata",1
"Oh.
There’s a temple over there.
There’s light leaking
through, so someone
must be there. Let’s check
it out. Ah… Hah!",Tanjirou,2,1,," At night,
on a path going into the mountains. Tanjirou and Nezuko
walk together until they reach a lighted temple.",1,,,Hashiras,1
"I smell blood!
This mountain path is pretty rough!
Someone must have gotten hurt!",Tanjirou,2,1,," At night,
on a path going into the mountains. Tanjirou and Nezuko
walk together until they reach a lighted temple.",1,,,"But it tastes so gross! There’s only so much gross a
person can take! Aoi",1
Are you all right?!,Tanjirou,2,1,," At night,
on a path going into the mountains. Tanjirou and Nezuko
walk together until they reach a lighted temple.",1,,,Workers,1
"What the hell?
This is my turf.
If you break into my territory, I’ll make you
pay!",Demon,2,1,," At night,
on a path going into the mountains. Tanjirou and Nezuko
walk together until they reach a lighted temple.",1,,,Rengoku          I only just took care of it now. Slayer,1
It’s a man-eating demon!,Tanjirou,2,1,Thoughts," At night,
on a path going into the mountains. Tanjirou and Nezuko
walk together until they reach a lighted temple.",1,,,"Proprietress    Would
they just shut up?
Tanjirou   That's not what I meant! Inosuke",1
"Huh?
There’s something off about
you.
Are you both humans?",Demon,2,1,," At night,
on a path going into the mountains. Tanjirou and Nezuko
walk together until they reach a lighted temple.",1,,,Gyuutarou       Grr… Uzui,1
